Id,GameId,Score,Winner,Penalty,Minute
12033,16075,2-0,True,False,29
12034,16075,3-0,False,False,54
12035,16075,4-0,False,False,60
13027,16077,2-1,False,False,75
13028,16077,2-2,False,False,77
13029,16078,1-0,True,False,11
13030,16078,2-0,False,False,45
13031,16079,0-1,False,False,49
13032,16080,1-0,False,False,38
14027,16082,1-0,True,True,44
14028,16083,0-1,False,False,22
14029,16083,0-2,True,False,33
14030,16083,0-3,False,False,40
14031,16084,0-1,True,False,64
14032,16084,0-2,False,False,84
14033,16084,0-3,False,False,86
14034,20149,1-0,True,False,62
14035,16089,1-1,False,False,32
14036,16089,3-2,False,False,90
14037,16089,3-3,False,False,91
14038,16090,1-3,False,False,68
15034,16093,0-1,False,False,16
15035,16093,1-2,True,False,89
15036,16094,1-0,False,False,6
15037,16094,2-1,False,False,44
15038,16096,3-1,False,False,49
15039,16096,3-2,False,False,65
15040,16097,1-0,False,False,6
15041,16097,2-1,True,False,36
15042,16097,3-1,False,False,73
16034,16098,1-1,False,False,51
17034,16099,1-0,False,False,9
17035,16099,2-1,True,False,88
18034,16100,0-1,True,False,57
18035,16101,1-0,False,False,2
18036,16101,2-1,True,False,11
18037,16102,0-1,True,False,59
18038,16103,0-1,False,False,12
18039,16103,0-2,True,False,41
18040,16104,1-0,True,False,60
18041,16105,1-1,False,False,57
18042,16105,2-2,False,False,68
18043,16106,1-1,False,False,40
19034,16107,1-0,True,False,61
19035,16108,0-1,True,False,89
19036,16109,1-0,True,True,38
19037,16110,0-1,False,False,11
19038,16111,1-2,False,False,26
19039,16111,2-2,False,False,40
19040,16113,1-0,False,False,33
19041,16113,2-1,True,False,52
19042,16113,3-1,False,False,73
19043,16114,1-0,True,True,47
19044,16119,1-1,False,False,50
19045,16118,0-1,True,False,61
19046,16121,2-1,False,False,66
20034,16124,2-1,False,False,83
20035,16125,1-1,False,True,30
20036,16126,0-1,True,False,14
20037,16126,0-2,False,False,83
20038,17151,0-1,False,False,46
20039,17151,1-2,True,False,89
20040,17152,1-2,False,False,68
20041,17152,2-3,False,False,92
20042,17152,3-3,False,False,94
21036,17154,1-1,False,False,81
21037,17154,2-1,True,False,88
21038,17155,0-1,False,False,16
21039,17157,0-1,True,False,26
21040,17157,0-2,False,False,79
21041,17158,1-1,False,False,92
21042,17159,0-1,True,False,30
21043,17160,0-1,True,False,7
21044,17160,0-2,False,False,93
21045,17161,0-1,True,False,20
21046,17161,0-2,False,False,57
21047,17163,1-0,False,False,4
21048,17163,2-0,True,False,8
21049,17163,3-1,False,False,46
21050,17163,4-1,False,False,81
22036,17165,1-0,False,False,3
22037,17165,2-2,False,True,85
22038,18149,0-1,False,False,21
22039,18149,0-2,True,False,23
22040,18149,0-3,False,False,56
22041,18149,1-4,False,False,85
22042,18150,1-1,False,False,61
22043,18151,1-0,True,False,19
22044,18151,2-0,False,False,44
22045,18152,1-0,True,False,3
22046,18152,2-0,False,False,20
22047,18152,3-0,False,False,45
22048,18153,0-1,False,False,25
22049,18154,1-1,False,False,9
22050,18154,2-2,False,False,68
22051,18154,3-2,False,False,76
22052,18154,4-2,True,False,84
22053,18156,1-1,False,False,31
22054,18156,2-1,True,False,51
22055,18158,1-0,False,False,55
22056,18158,2-1,True,False,76
22057,18159,1-1,False,False,58
22058,18160,1-1,False,False,67
22059,18160,2-2,False,False,76
22060,18160,3-2,True,False,84
22061,18161,1-0,False,False,24
22062,18163,1-1,False,False,28
22063,18163,2-1,True,False,83
22064,18163,3-1,False,False,88
22065,18163,4-1,False,False,90
22066,18164,0-1,False,False,11
22067,18164,0-2,False,False,32
22068,18165,1-0,False,False,18
22069,18165,2-1,True,False,93
22070,11053,1-0,False,True,22
22071,11053,2-1,False,False,63
22072,11053,3-2,True,True,88
22099,12054,0-1,True,False,34
22100,9059,1-0,True,False,51
22103,9062,2-1,False,False,24
22104,9062,3-2,False,False,52
22105,9062,3-3,False,True,80
22106,9064,2-1,False,False,77
22107,9064,2-2,False,False,79
22108,9066,1-0,False,False,26
22109,9066,2-0,False,True,27
22110,9066,3-2,True,False,79
22111,9067,1-1,False,False,93
