Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,HomeMatchInfo,FullInfo
21149,IFK Mariehamn,23.10.2019 18.30.00,Veikkausliiga,1-0,2,Wiklöf Holding Arena,False,Away,Veikkausliiga 23.10.2019 18.30 IFK Mariehamn - HIFK 1-0     Wiklöf Holding Arena
6041,RoPS,19.10.2019 15.00.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,Home,Veikkausliiga 19.10.2019 15.00 HIFK - RoPS 2-0     Telia 5G Areena
6040,VPS,6.10.2019 16.00.00,Veikkausliiga,2-3,1,Elisa Stadion,False,Away,Veikkausliiga 06.10.2019 16.00 VPS - HIFK 2-3     Elisa Stadion
6039,FC Lahti,28.9.2019 14.00.00,Veikkausliiga,2-2,0,Lahden kisapuisto,False,Away,Veikkausliiga 28.09.2019 14.00 FC Lahti - HIFK 2-2     Lahden kisapuisto
6038,SJK,21.9.2019 18.00.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,Home,Veikkausliiga 21.09.2019 18.00 HIFK - SJK 2-0     Telia 5G Areena
6037,KPV,13.9.2019 18.30.00,Veikkausliiga,3-1,1,Telia 5G Areena,True,Home,Veikkausliiga 13.09.2019 18.30 HIFK - KPV 3-1     Telia 5G Areena
6036,VPS,31.8.2019 17.00.00,Veikkausliiga,3-2,2,Elisa Stadion,False,Away,Veikkausliiga 31.08.2019 17.00 VPS - HIFK 3-2     Elisa Stadion
6035,Ilves,27.8.2019 18.30.00,Veikkausliiga,3-1,2,Tammelan Stadion,False,Away,Veikkausliiga 27.08.2019 18.30 Ilves - HIFK 3-1     Tammelan Stadion
6034,Ilves,23.8.2019 18.30.00,Veikkausliiga,2-2,0,Telia 5G Areena,True,Home,Veikkausliiga 23.08.2019 18.30 HIFK - Ilves 2-2     Telia 5G Areena
6033,FC Inter,16.8.2019 18.30.00,Veikkausliiga,3-2,2,Veritas Stadion,False,Away,Veikkausliiga 16.08.2019 18.30 FC Inter - HIFK 3-2     Veritas Stadion
6032,KPV,9.8.2019 18.30.00,Veikkausliiga,3-2,1,Telia 5G Areena,True,Home,Veikkausliiga 09.08.2019 18.30 HIFK - KPV 3-2     Telia 5G Areena
6031,KuPS,4.8.2019 17.00.00,Veikkausliiga,1-1,0,Savon Sanomat Areena,False,Away,Veikkausliiga 04.08.2019 17.00 KuPS - HIFK 1-1     Savon Sanomat Areena
6030,IFK Mariehamn,28.7.2019 17.00.00,Veikkausliiga,1-3,1,Wiklöf Holding Arena,False,Away,Veikkausliiga 28.07.2019 17.00 IFK Mariehamn - HIFK 1-3     Wiklöf Holding Arena
6029,RoPS,21.7.2019 17.00.00,Veikkausliiga,1-0,1,Telia 5G Areena,True,Home,Veikkausliiga 21.07.2019 17.00 HIFK - RoPS 1-0     Telia 5G Areena
6028,Esport Honka,13.7.2019 13.00.00,Veikkausliiga,3-0,2,Tapiolan urheilupuisto,False,Away,Veikkausliiga 13.07.2019 13.00 Esport Honka - HIFK 3-0     Tapiolan urheilupuisto
6027,HJK,4.7.2019 18.30.00,Veikkausliiga,0-2,2,Telia 5G Areena,True,Home,Veikkausliiga 04.07.2019 18.30 HIFK - HJK 0-2     Telia 5G Areena
6026,FC Lahti,30.6.2019 18.30.00,Veikkausliiga,0-0,0,Lahden kisapuisto,False,Away,Veikkausliiga 30.06.2019 18.30 FC Lahti - HIFK 0-0     Lahden kisapuisto
6025,SJK,18.6.2019 18.30.00,Veikkausliiga,1-0,1,Telia 5G Areena,True,Home,Veikkausliiga 18.06.2019 18.30 HIFK - SJK 1-0     Telia 5G Areena
6024,VPS,31.5.2019 18.30.00,Veikkausliiga,2-1,1,Telia 5G Areena,True,Home,Veikkausliiga 31.05.2019 18.30 HIFK - VPS 2-1     Telia 5G Areena
6023,FC Inter,25.5.2019 17.00.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,Home,Veikkausliiga 25.05.2019 17.00 HIFK - FC Inter 1-1     Telia 5G Areena
6022,KPV,20.5.2019 18.30.00,Veikkausliiga,1-1,0,Kokkolan keskuskenttä,False,Away,Veikkausliiga 20.05.2019 18.30 KPV - HIFK 1-1     Kokkolan keskuskenttä
6021,KuPS,12.5.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,Home,Veikkausliiga 12.05.2019 18.30 HIFK - KuPS 1-1     Telia 5G Areena
6020,IFK Mariehamn,8.5.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,Home,Veikkausliiga 08.05.2019 18.30 HIFK - IFK Mariehamn 1-1     Telia 5G Areena
6019,RoPS,3.5.2019 18.30.00,Veikkausliiga,1-0,2,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 03.05.2019 18.30 RoPS - HIFK 1-0     Rovaniemen keskuskenttä
6018,Esport Honka,29.4.2019 18.30.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,Home,Veikkausliiga 29.04.2019 18.30 HIFK - Esport Honka 2-0     Telia 5G Areena
6017,HJK,23.4.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,False,Away,Veikkausliiga 23.04.2019 18.30 HJK - HIFK 1-1     Telia 5G Areena
6016,FC Lahti,15.4.2019 18.30.00,Veikkausliiga,0-1,2,Telia 5G Areena,True,Home,Veikkausliiga 15.04.2019 18.30 HIFK - FC Lahti 0-1     Telia 5G Areena
6015,SJK,6.4.2019 15.00.00,Veikkausliiga,1-0,2,OmaSp Stadion,False,Away,Veikkausliiga 06.04.2019 15.00 SJK - HIFK 1-0     OmaSp Stadion
18165,FC Lahti,28.10.2017 14.00.00,Veikkausliiga,2-1,2,Lahden kisapuisto,False,Away,Veikkausliiga 28.10.2017 14.00 FC Lahti - HIFK 2-1     Lahden kisapuisto
18164,SJK,20.10.2017 18.30.00,Veikkausliiga,2-2,0,Bolt Arena,True,Home,Veikkausliiga 20.10.2017 18.30 HIFK - SJK 2-2     Bolt Arena
18163,FC Inter,16.10.2017 18.30.00,Veikkausliiga,4-1,2,Veritas Stadion,False,Away,Veikkausliiga 16.10.2017 18.30 FC Inter - HIFK 4-1     Veritas Stadion
18162,PS Kemi,12.10.2017 18.30.00,Veikkausliiga,4-0,1,Bolt Arena,True,Home,Veikkausliiga 12.10.2017 18.30 HIFK - PS Kemi 4-0     Bolt Arena
18161,VPS,29.9.2017 18.30.00,Veikkausliiga,1-2,1,Elisa Stadion,False,Away,Veikkausliiga 29.09.2017 18.30 VPS - HIFK 1-2     Elisa Stadion
18160,KuPS,24.9.2017 18.30.00,Veikkausliiga,3-2,2,Savon Sanomat Areena,False,Away,Veikkausliiga 24.09.2017 18.30 KuPS - HIFK 3-2     Savon Sanomat Areena
18159,JJK,15.9.2017 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 15.09.2017 18.30 HIFK - JJK 1-1     Bolt Arena
18158,HJK,12.9.2017 18.30.00,Veikkausliiga,2-1,2,Bolt Arena,False,Away,Veikkausliiga 12.09.2017 18.30 HJK - HIFK 2-1     Bolt Arena
18157,IFK Mariehamn,8.9.2017 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 08.09.2017 18.30 HIFK - IFK Mariehamn 0-0     Bolt Arena
18156,Ilves,26.8.2017 17.00.00,Veikkausliiga,2-1,2,Tammelan Stadion,False,Away,Veikkausliiga 26.08.2017 17.00 Ilves - HIFK 2-1     Tammelan Stadion
18155,RoPS,19.8.2017 17.00.00,Veikkausliiga,1-0,1,Bolt Arena,True,Home,Veikkausliiga 19.08.2017 17.00 HIFK - RoPS 1-0     Bolt Arena
18154,Ilves,14.8.2017 18.30.00,Veikkausliiga,4-3,2,Tammelan Stadion,False,Away,Veikkausliiga 14.08.2017 18.30 Ilves - HIFK 4-3     Tammelan Stadion
18153,VPS,9.8.2017 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Home,Veikkausliiga 09.08.2017 18.30 HIFK - VPS 2-1     Bolt Arena
18152,FC Inter,4.8.2017 18.30.00,Veikkausliiga,3-0,2,Veritas Stadion,False,Away,Veikkausliiga 04.08.2017 18.30 FC Inter - HIFK 3-0     Veritas Stadion
18151,HJK,31.7.2017 18.30.00,Veikkausliiga,2-0,2,Bolt Arena,False,Away,Veikkausliiga 31.07.2017 18.30 HJK - HIFK 2-0     Bolt Arena
18150,IFK Mariehamn,22.7.2017 16.00.00,Veikkausliiga,1-1,0,Wiklöf Holding Arena,False,Away,Veikkausliiga 22.07.2017 16.00 IFK Mariehamn - HIFK 1-1     Wiklöf Holding Arena
18149,KuPS,17.7.2017 18.30.00,Veikkausliiga,1-4,2,Bolt Arena,True,Home,Veikkausliiga 17.07.2017 18.30 HIFK - KuPS 1-4     Bolt Arena
17165,RoPS,8.7.2017 17.00.00,Veikkausliiga,2-2,0,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 08.07.2017 17.00 RoPS - HIFK 2-2     Rovaniemen keskuskenttä
17163,FC Lahti,27.6.2017 18.30.00,Veikkausliiga,4-1,2,Lahden kisapuisto,False,Away,Veikkausliiga 27.06.2017 18.30 FC Lahti - HIFK 4-1     Lahden kisapuisto
17162,JJK,21.6.2017 18.30.00,Veikkausliiga,0-3,1,Harjun stadion,False,Away,Veikkausliiga 21.06.2017 18.30 JJK - HIFK 0-3     Harjun stadion
17161,PS Kemi,17.6.2017 15.00.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 17.06.2017 15.00 HIFK - PS Kemi 0-2     Bolt Arena
